created_by,created_on,common_name,genus,species,subspecies
1,2015-09-09 13:46:11,Crow,Corvus,splendens,
1,2015-09-09 13:46:11,Leopard,Panthera,pardus,
1,2015-09-09 13:46:11,Bearded Pig,Sus,barbatus,
1,2015-09-09 13:46:11,Rothschild giraffe,Giraffa,camelopardalis,rothschildi
1,2015-09-09 13:46:11,,Gymnogryllus,,
