filename,start_datetime,length_seconds,static_filepath,previous_part,next_part,part_number,number_of_parts
SM300545_0+1_20150909_134611_1.mp3,2015-09-09 13:46:11,300,audio/SM300545_0+1_20150909_134611_1.mp3,None,2,1,4
SM300545_0+1_20150909_134611_2.mp3,2015-09-09 13:46:11,300,audio/SM300545_0+1_20150909_134611_2.mp3,1,3,2,4
SM300545_0+1_20150909_134611_3.mp3,2015-09-09 13:46:11,300,audio/SM300545_0+1_20150909_134611_3.mp3,2,4,3,4
SM300545_0+1_20150909_134611_4.mp3,2015-09-09 13:46:11,300,audio/SM300545_0+1_20150909_134611_4.mp3,3,None,4,4
