"","common_name","scientific_name","taxon_rank","gbif_key","taxon_class"
"1","Fluffy-backed Tit-Babbler","Macronus ptilosus","SPECIES",6100830,"Aves"
"2","Blue-eared Barbet","Psilopogon duvaucelii","SPECIES",7885381,"Aves"
"3","Chestnut-winged Babbler","Stachyris erythroptera","SPECIES",2493420,"Aves"
"5","Greater Coucal","Centropus sinensis","SPECIES",5232005,"Aves"
"6","Bold-striped Tit-Babbler","Macronus bornensis","SPECIES",6100833,"Aves"
"8","Little Spiderhunter","Arachnothera longirostra","SPECIES",2484653,"Aves"
"9","Yellow-bellied Bulbul","Alophoixus phaeocephalus","SPECIES",2486196,"Aves"
"10","Maroon Woodpecker","Blythipicus rubiginosus","SPECIES",2478225,"Aves"
"11","Great Argus","Argusianus argus","SPECIES",5227762,"Aves"
"12","Black-and-yellow Broadbill","Eurylaimus ochromalus","SPECIES",2484548,"Aves"
"13","Smith's Giant Gecko","Gekko smithi","SPECIES",2447321,"Reptilia"
"14","Rufous Piculet","Sasia abnormis","SPECIES",2478207,"Aves"
"17","Spectacled Bulbul","Pycnonotus erythropthalmos","SPECIES",2486125,"Aves"
"19","Rhinoceros Hornbill","Buceros rhinoceros","SPECIES",2476004,"Aves"
"20","Buff-vented Bulbul","Iole crypta","SPECIES",9577865,"Aves"
"24","Sooty-capped Babbler","Malacopteron affine","SPECIES",2493506,"Aves"
"26","Black-naped Monarch","Hypothymis azurea","SPECIES",2486625,"Aves"
"28","Malaysian Pied Fantail","Rhipidura javanica","SPECIES",5231747,"Aves"
"30","Maroon-breasted Philentoma","Philentoma velata","SPECIES",7340857,"Aves"
"36","Dark-necked Tailorbird","Orthotomus atrogularis","SPECIES",2493033,"Aves"
"41","Black-headed Bulbul","Pycnonotus atriceps","SPECIES",2486134,"Aves"
"47","Crested Serpent Eagle","Spilornis cheela","SPECIES",2480433,"Aves"
"50","Van Hasselt's Sunbird","Leptocoma brasiliana","SPECIES",7340843,"Aves"
"54","Red-bearded Bee-eater","Nyctyornis amictus","SPECIES",2475461,"Aves"
"72","Yellow-rumped Flowerpecker","Prionochilus xanthopygius","SPECIES",5229961,"Aves"
"85","Ashy Tailorbird","Orthotomus ruficeps","SPECIES",2493031,"Aves"
"100","Banded Bay Cuckoo","Cacomantis sonneratii","SPECIES",2496280,"Aves"
"101","Dark-throated Oriole","Oriolus xanthonotus","SPECIES",2488971,"Aves"
"103","Green Iora","Aegithina viridissima","SPECIES",2484095,"Aves"
"104","Short-tailed Babbler","Malacocincla malaccensis","SPECIES",2493400,"Aves"
"106","Rufous-fronted Babbler","Stachyridopsis rufifrons","SPECIES",7340311,"Aves"
"111","Cream-vented Bulbul","Pycnonotus simplex","SPECIES",2486137,"Aves"
"112","Lesser Green Leafbird","Chloropsis cyanopogon","SPECIES",5230729,"Aves"
"157","Slender-billed Crow","Corvus enca","SPECIES",2482470,"Aves"
"158","Lesser Coucal","Centropus bengalensis","SPECIES",5231979,"Aves"
"159","Yellow-bellied Prinia","Prinia flaviventris","SPECIES",2492765,"Aves"
"163","Plaintive Cuckoo","Cacomantis merulinus","SPECIES",2496253,"Aves"
"174","Rufous-tailed Tailorbird","Orthotomus sericeus","SPECIES",2493038,"Aves"
"179","Orange-bellied Flowerpecker","Dicaeum trigonostigma","SPECIES",2484724,"Aves"
"185","Asian Red-eyed Bulbul","Pycnonotus brunneus","SPECIES",2486149,"Aves"
"211","Crimson Sunbird","Aethopyga siparaja","SPECIES",2484677,"Aves"
"213","Black-winged Flycatcher-shrike","Hemipus hirundinaceus","SPECIES",2486749,"Aves"
"215","Common Emerald Dove","Chalcophaps indica","SPECIES",2495840,"Aves"
"223","Yellow-breasted Flowerpecker","Prionochilus maculatus","SPECIES",5229960,"Aves"
"229","White-crowned Shama","Copsychus stricklandii","SPECIES",2492678,"Aves"
"230","Scarlet Minivet","Pericrocotus speciosus","SPECIES",6101031,"Aves"
"236","Black Hornbill","Anthracoceros malayanus","SPECIES",2475989,"Aves"
"240","Great Slaty Woodpecker","Mulleripicus pulverulentus","SPECIES",2478328,"Aves"
"241","Chestnut-backed Scimitar Babbler","Pomatorhinus montanus","SPECIES",2493335,"Aves"
"242","Red-throated Barbet","Psilopogon mystacophanos","SPECIES",7515275,"Aves"
"245","Brown Fulvetta","Alcippe brunneicauda","SPECIES",5231379,"Aves"
"253","Golden-whiskered Barbet","Psilopogon chrysopogon","SPECIES",7497537,"Aves"
"274","Bushy-crested Hornbill","Anorrhinus galeritus","SPECIES",2475930,"Aves"
"293","Chestnut-necklaced Partridge","Arborophila charltonii","SPECIES",2473622,"Aves"
