"","scientific_name","site","time"
"1","Macronus ptilosus","E100_edge","10:15"
"2","Psilopogon duvaucelii","E100_edge","10:15"
"3","Stachyris erythroptera","E100_edge","10:15"
"4","Psilopogon duvaucelii","E100_edge","10:15"
"5","Centropus sinensis","E100_edge","10:16"
"6","Macronus bornensis","E100_edge","10:17"
"7","Macronus bornensis","E100_edge","10:17"
"8","Arachnothera longirostra","E100_edge","10:17"
"9","Alophoixus phaeocephalus","E100_edge","10:18"
"10","Blythipicus rubiginosus","E100_edge","10:18"
"11","Argusianus argus","E100_edge","10:18"
"12","Eurylaimus ochromalus","E100_edge","10:19"
"13","Gekko smithi","E100_edge","10:19"
"14","Sasia abnormis","E100_edge","10:19"
"15","Psilopogon duvaucelii","E100_edge","10:21"
"16","Gekko smithi","E100_edge","10:21"
"17","Pycnonotus erythropthalmos","E100_edge","10:22"
"18","Alophoixus phaeocephalus","E100_edge","10:23"
"19","Buceros rhinoceros","E100_edge","10:29"
"20","Iole crypta","E100_edge","10:31"
"21","Argusianus argus","E100_edge","10:32"
"22","Gekko smithi","E100_edge","10:33"
"23","Eurylaimus ochromalus","E100_edge","10:33"
"24","Malacopteron affine","E100_edge","10:33"
"25","Gekko smithi","E100_edge","10:34"
"26","Hypothymis azurea","E100_edge","11:00"
"27","Pycnonotus erythropthalmos","E100_edge","11:00"
"28","Rhipidura javanica","E100_edge","11:01"
"29","Gekko smithi","E100_edge","11:02"
"30","Philentoma velata","E100_edge","11:02"
"31","Psilopogon duvaucelii","E100_edge","11:03"
"32","Hypothymis azurea","E100_edge","11:03"
"33","Psilopogon duvaucelii","E100_edge","11:03"
"34","Argusianus argus","E100_edge","11:04"
"35","Argusianus argus","E100_edge","11:04"
"36","Orthotomus atrogularis","E100_edge","11:12"
"37","Alophoixus phaeocephalus","E100_edge","11:12"
"38","Alophoixus phaeocephalus","E100_edge","11:12"
"39","Gekko smithi","E100_edge","11:13"
"40","Gekko smithi","E100_edge","11:18"
"41","Pycnonotus atriceps","E100_edge","12:00"
"42","Psilopogon duvaucelii","E100_edge","12:00"
"43","Stachyris erythroptera","E100_edge","12:00"
"44","Alophoixus phaeocephalus","E100_edge","12:02"
"45","Sasia abnormis","E100_edge","12:02"
"46","Argusianus argus","E100_edge","12:03"
"47","Spilornis cheela","E100_edge","12:04"
"48","Psilopogon duvaucelii","E100_edge","12:06"
"49","Hypothymis azurea","E100_edge","12:07"
"50","Leptocoma brasiliana","E100_edge","12:10"
"51","Leptocoma brasiliana","E100_edge","12:10"
"52","Argusianus argus","E100_edge","12:12"
"53","Alophoixus phaeocephalus","E100_edge","12:15"
"54","Nyctyornis amictus","E100_edge","12:15"
"55","Hypothymis azurea","E100_edge","12:19"
"56","Hypothymis azurea","E100_edge","12:19"
"57","Arachnothera longirostra","E100_edge","12:20"
"58","Arachnothera longirostra","E100_edge","12:20"
"59","Alophoixus phaeocephalus","E100_edge","13:00"
"60","Hypothymis azurea","E100_edge","13:01"
"61","Centropus sinensis","E100_edge","13:01"
"62","Hypothymis azurea","E100_edge","13:02"
"63","Spilornis cheela","E100_edge","13:02"
"64","Pycnonotus atriceps","E100_edge","13:05"
"65","Psilopogon duvaucelii","E100_edge","13:08"
"66","Gekko smithi","E100_edge","13:11"
"67","Buceros rhinoceros","E100_edge","13:13"
"68","Arachnothera longirostra","E100_edge","13:15"
"69","Gekko smithi","E100_edge","13:17"
"70","Arachnothera longirostra","E100_edge","13:17"
"71","Gekko smithi","E100_edge","13:19"
"72","Prionochilus xanthopygius","E100_edge","13:19"
"73","Prionochilus xanthopygius","E100_edge","13:19"
"74","Spilornis cheela","E100_edge","14:01"
"75","Centropus sinensis","E100_edge","14:06"
"76","Eurylaimus ochromalus","E100_edge","14:07"
"77","Gekko smithi","E100_edge","14:07"
"78","Pycnonotus erythropthalmos","E100_edge","14:12"
"79","Gekko smithi","E100_edge","14:13"
"80","Gekko smithi","E100_edge","14:14"
"81","Gekko smithi","E100_edge","14:18"
"82","Psilopogon duvaucelii","E100_edge","15:00"
"83","Gekko smithi","E100_edge","15:05"
"84","Stachyris erythroptera","D100_641","09:15"
"85","Orthotomus ruficeps","D100_641","09:15"
"86","Orthotomus ruficeps","D100_641","09:15"
"87","Spilornis cheela","D100_641","09:15"
"88","Stachyris erythroptera","D100_641","09:15"
"89","Pycnonotus erythropthalmos","D100_641","09:16"
"90","Macronus ptilosus","D100_641","09:17"
"91","Arachnothera longirostra","D100_641","09:17"
"92","Prionochilus xanthopygius","D100_641","09:18"
"93","Macronus bornensis","D100_641","09:19"
"94","Spilornis cheela","D100_641","09:20"
"95","Eurylaimus ochromalus","D100_641","09:20"
"96","Pycnonotus erythropthalmos","D100_641","09:21"
"97","Psilopogon duvaucelii","D100_641","09:21"
"98","Pycnonotus atriceps","D100_641","09:21"
"99","Arachnothera longirostra","D100_641","09:22"
"100","Cacomantis sonneratii","D100_641","09:23"
"101","Oriolus xanthonotus","D100_641","09:24"
"102","Macronus ptilosus","D100_641","09:26"
"103","Aegithina viridissima","D100_641","09:27"
"104","Malacocincla malaccensis","D100_641","09:27"
"105","Malacocincla malaccensis","D100_641","09:27"
"106","Stachyridopsis rufifrons","D100_641","09:30"
"107","Orthotomus ruficeps","D100_641","09:30"
"108","Pycnonotus erythropthalmos","D100_641","09:32"
"109","Pycnonotus erythropthalmos","D100_641","09:33"
"110","Hypothymis azurea","D100_641","09:33"
"111","Pycnonotus simplex","D100_641","09:34"
"112","Chloropsis cyanopogon","D100_641","10:00"
"113","Eurylaimus ochromalus","D100_641","10:00"
"114","Pycnonotus erythropthalmos","D100_641","10:00"
"115","Arachnothera longirostra","D100_641","10:01"
"116","Macronus ptilosus","D100_641","10:10"
"117","Pycnonotus erythropthalmos","D100_641","10:13"
"118","Psilopogon duvaucelii","D100_641","10:17"
"119","Psilopogon duvaucelii","D100_641","11:00"
"120","Centropus sinensis","D100_641","11:00"
"121","Pycnonotus simplex","D100_641","11:00"
"122","Pycnonotus erythropthalmos","D100_641","11:00"
"123","Pycnonotus erythropthalmos","D100_641","11:19"
"124","Orthotomus ruficeps","D100_641","12:00"
"125","Orthotomus ruficeps","D100_641","12:00"
"126","Psilopogon duvaucelii","D100_641","12:01"
"127","Gekko smithi","D100_641","12:02"
"128","Psilopogon duvaucelii","D100_641","12:03"
"129","Eurylaimus ochromalus","D100_641","12:04"
"130","Orthotomus atrogularis","D100_641","12:04"
"131","Aegithina viridissima","D100_641","12:11"
"132","Centropus sinensis","D100_641","12:12"
"133","Pycnonotus erythropthalmos","D100_641","12:12"
"134","Arachnothera longirostra","D100_641","12:14"
"135","Arachnothera longirostra","D100_641","12:15"
"136","Stachyris erythroptera","D100_641","12:15"
"137","Spilornis cheela","D100_641","12:16"
"138","Pycnonotus atriceps","D100_641","13:00"
"139","Stachyris erythroptera","D100_641","13:05"
"140","Macronus ptilosus","D100_641","13:05"
"141","Pycnonotus simplex","D100_641","13:08"
"142","Gekko smithi","D100_641","13:08"
"143","Psilopogon duvaucelii","D100_641","13:09"
"144","Pycnonotus atriceps","D100_641","13:16"
"145","Orthotomus ruficeps","D100_641","13:19"
"146","Orthotomus ruficeps","D100_641","14:03"
"147","Stachyris erythroptera","D100_641","14:04"
"148","Cacomantis sonneratii","D100_641","14:08"
"149","Eurylaimus ochromalus","D100_641","14:09"
"150","Pycnonotus erythropthalmos","D100_641","14:10"
"151","Stachyris erythroptera","D100_641","14:16"
"152","Psilopogon duvaucelii","D100_641","14:17"
"153","Orthotomus atrogularis","C10_621","10:00"
"154","Macronus bornensis","C10_621","10:00"
"155","Macronus bornensis","C10_621","10:02"
"156","Stachyris erythroptera","C10_621","10:03"
"157","Corvus enca","C10_621","10:04"
"158","Centropus bengalensis","C10_621","10:05"
"159","Prinia flaviventris","C10_621","10:07"
"160","Aegithina viridissima","C10_621","10:07"
"161","Prinia flaviventris","C10_621","10:09"
"162","Centropus bengalensis","C10_621","10:10"
"163","Cacomantis merulinus","C10_621","10:13"
"164","Prionochilus xanthopygius","C10_621","10:15"
"165","Prionochilus xanthopygius","C10_621","10:15"
"166","Pycnonotus simplex","C10_621","10:16"
"167","Pycnonotus simplex","C10_621","10:16"
"168","Orthotomus ruficeps","C10_621","10:17"
"169","Prinia flaviventris","C10_621","10:19"
"170","Corvus enca","C10_621","11:00"
"171","Corvus enca","C10_621","11:00"
"172","Prinia flaviventris","C10_621","11:00"
"173","Orthotomus ruficeps","C10_621","11:02"
"174","Orthotomus sericeus","C10_621","11:02"
"175","Macronus bornensis","C10_621","11:03"
"176","Prinia flaviventris","C10_621","11:04"
"177","Macronus bornensis","C10_621","11:04"
"178","Cacomantis merulinus","C10_621","11:06"
"179","Dicaeum trigonostigma","C10_621","11:11"
"180","Centropus bengalensis","C10_621","11:19"
"181","Cacomantis merulinus","C10_621","12:00"
"182","Macronus bornensis","C10_621","12:00"
"183","Corvus enca","C10_621","12:00"
"184","Corvus enca","C10_621","12:00"
"185","Pycnonotus brunneus","C10_621","12:01"
"186","Prinia flaviventris","C10_621","12:02"
"187","Pycnonotus atriceps","C10_621","12:03"
"188","Macronus bornensis","C10_621","12:04"
"189","Pycnonotus simplex","C10_621","12:05"
"190","Aegithina viridissima","C10_621","12:05"
"191","Malacopteron affine","C10_621","12:07"
"192","Orthotomus sericeus","C10_621","12:09"
"193","Centropus bengalensis","C10_621","12:09"
"194","Prinia flaviventris","C10_621","12:11"
"195","Orthotomus ruficeps","C10_621","12:12"
"196","Centropus bengalensis","C10_621","12:13"
"197","Malacopteron affine","C10_621","12:18"
"198","Rhipidura javanica","C10_621","12:18"
"199","Corvus enca","C10_621","13:00"
"200","Corvus enca","C10_621","13:00"
"201","Corvus enca","C10_621","13:01"
"202","Corvus enca","C10_621","13:01"
"203","Corvus enca","C10_621","13:01"
"204","Prinia flaviventris","C10_621","13:01"
"205","Aegithina viridissima","C10_621","13:06"
"206","Centropus sinensis","C10_621","13:09"
"207","Macronus bornensis","C10_621","13:09"
"208","Prinia flaviventris","C10_621","13:12"
"209","Orthotomus sericeus","C10_621","13:12"
"210","Orthotomus atrogularis","C10_621","13:12"
"211","Aethopyga siparaja","C10_621","13:18"
"212","Aethopyga siparaja","C10_621","13:18"
"213","Hemipus hirundinaceus","C10_621","13:18"
"214","Aegithina viridissima","C10_621","13:18"
"215","Chalcophaps indica","C10_621","15:00"
"216","Prionochilus xanthopygius","C10_621","15:00"
"217","Pycnonotus atriceps","C10_621","15:00"
"218","Pycnonotus erythropthalmos","C10_621","15:01"
"219","Macronus bornensis","C10_621","15:02"
"220","Eurylaimus ochromalus","C10_621","15:03"
"221","Prinia flaviventris","C10_621","15:03"
"222","Macronus bornensis","C10_621","15:04"
"223","Prionochilus maculatus","C10_621","15:05"
"224","Cacomantis merulinus","C10_621","15:05"
"225","Prinia flaviventris","C10_621","15:09"
"226","Orthotomus ruficeps","C10_621","15:10"
"227","Orthotomus sericeus","C10_621","15:10"
"228","Hemipus hirundinaceus","C10_621","15:11"
"229","Copsychus stricklandii","C10_621","15:11"
"230","Pericrocotus speciosus","C10_621","15:11"
"231","Corvus enca","C10_621","15:12"
"232","Macronus bornensis","C10_621","15:14"
"233","Centropus sinensis","C10_621","15:15"
"234","Pycnonotus atriceps","C10_621","15:16"
"235","Argusianus argus","VJR_1","11:20"
"236","Anthracoceros malayanus","VJR_1","11:21"
"237","Arachnothera longirostra","VJR_1","11:21"
"238","Argusianus argus","VJR_1","11:22"
"239","Stachyridopsis rufifrons","VJR_1","11:22"
"240","Mulleripicus pulverulentus","VJR_1","11:22"
