"","scientific_name","site","time"
"241","Pomatorhinus montanus","VJR_1","11:25"
"242","Psilopogon mystacophanos","VJR_1","11:25"
"243","Mulleripicus pulverulentus","VJR_1","11:26"
"244","Arachnothera longirostra","VJR_1","11:30"
"245","Alcippe brunneicauda","VJR_1","11:30"
"246","Leptocoma brasiliana","VJR_1","11:31"
"247","Eurylaimus ochromalus","VJR_1","11:37"
"248","Corvus enca","VJR_1","12:00"
"249","Eurylaimus ochromalus","VJR_1","12:00"
"250","Copsychus stricklandii","VJR_1","12:02"
"251","Stachyris erythroptera","VJR_1","12:02"
"252","Psilopogon mystacophanos","VJR_1","12:03"
"253","Psilopogon chrysopogon","VJR_1","12:03"
"254","Argusianus argus","VJR_1","12:04"
"255","Mulleripicus pulverulentus","VJR_1","12:05"
"256","Philentoma velata","VJR_1","12:05"
"257","Pycnonotus erythropthalmos","VJR_1","12:10"
"258","Anthracoceros malayanus","VJR_1","12:11"
"259","Gekko smithi","VJR_1","12:11"
"260","Stachyris erythroptera","VJR_1","12:12"
"261","Stachyridopsis rufifrons","VJR_1","12:13"
"262","Oriolus xanthonotus","VJR_1","12:14"
"263","Pomatorhinus montanus","VJR_1","12:15"
"264","Alcippe brunneicauda","VJR_1","12:16"
"265","Orthotomus atrogularis","VJR_1","12:17"
"266","Arachnothera longirostra","VJR_1","12:18"
"267","Orthotomus atrogularis","VJR_1","13:00"
"268","Philentoma velata","VJR_1","13:00"
"269","Eurylaimus ochromalus","VJR_1","13:01"
"270","Alcippe brunneicauda","VJR_1","13:04"
"271","Arachnothera longirostra","VJR_1","13:04"
"272","Psilopogon mystacophanos","VJR_1","13:07"
"273","Psilopogon chrysopogon","VJR_1","13:08"
"274","Anorrhinus galeritus","VJR_1","13:09"
"275","Anorrhinus galeritus","VJR_1","13:19"
"276","Copsychus stricklandii","VJR_1","14:00"
"277","Argusianus argus","VJR_1","14:01"
"278","Anorrhinus galeritus","VJR_1","14:03"
"279","Arachnothera longirostra","VJR_1","14:08"
"280","Psilopogon mystacophanos","VJR_1","14:11"
"281","Psilopogon chrysopogon","VJR_1","14:16"
"282","Alcippe brunneicauda","VJR_1","15:00"
"283","Argusianus argus","VJR_1","15:03"
"284","Stachyridopsis rufifrons","VJR_1","16:00"
"285","Mulleripicus pulverulentus","VJR_1","16:01"
"286","Pycnonotus erythropthalmos","VJR_1","16:01"
"287","Eurylaimus ochromalus","VJR_1","16:02"
"288","Alophoixus phaeocephalus","VJR_1","16:03"
"289","Malacocincla malaccensis","VJR_1","16:04"
"290","Copsychus stricklandii","VJR_1","16:13"
"291","Stachyris erythroptera","E1_648","10:00"
"292","Stachyris erythroptera","E1_648","10:00"
"293","Arborophila charltonii","E1_648","10:01"
"294","Copsychus stricklandii","E1_648","10:01"
"295","Pycnonotus atriceps","E1_648","10:05"
"296","Pycnonotus simplex","E1_648","10:07"
"297","Pycnonotus atriceps","E1_648","10:07"
"298","Malacopteron affine","E1_648","10:13"
"299","Pycnonotus atriceps","E1_648","10:15"
"300","Argusianus argus","E1_648","10:17"
"301","Copsychus stricklandii","E1_648","11:00"
"302","Cacomantis merulinus","E1_648","11:00"
"303","Pycnonotus simplex","E1_648","11:00"
"304","Orthotomus sericeus","E1_648","11:00"
"305","Chloropsis cyanopogon","E1_648","11:01"
"306","Macronus ptilosus","E1_648","11:01"
"307","Malacocincla malaccensis","E1_648","11:01"
"308","Dicaeum trigonostigma","E1_648","11:02"
"309","Centropus sinensis","E1_648","11:02"
"310","Pycnonotus atriceps","E1_648","11:03"
"311","Orthotomus ruficeps","E1_648","11:04"
"312","Orthotomus ruficeps","E1_648","11:04"
"313","Arachnothera longirostra","E1_648","11:04"
"314","Psilopogon duvaucelii","E1_648","11:07"
"315","Argusianus argus","E1_648","11:13"
"316","Pomatorhinus montanus","E1_648","11:14"
"317","Pycnonotus atriceps","E1_648","12:00"
"318","Malacopteron affine","E1_648","12:02"
"319","Pycnonotus atriceps","E1_648","12:03"
"320","Pycnonotus atriceps","E1_648","12:03"
"321","Dicrurus aeneus","E1_648","12:04"
"322","Macronus ptilosus","E1_648","12:04"
"323","Psilopogon duvaucelii","E1_648","12:04"
"324","Cacomantis merulinus","E1_648","12:05"
"325","Dicaeum trigonostigma","E1_648","12:06"
"326","Arachnothera longirostra","E1_648","12:07"
"327","Orthotomus ruficeps","E1_648","12:10"
"328","Orthotomus atrogularis","E1_648","12:11"
"329","Macronus bornensis","E1_648","12:11"
"330","Pycnonotus simplex","E1_648","12:13"
"331","Pycnonotus simplex","E1_648","12:13"
"332","Sasia abnormis","E1_648","12:15"
"333","Pycnonotus erythropthalmos","E1_648","12:19"
"334","Arachnothera longirostra","E1_648","12:19"
"335","Argusianus argus","E1_648","13:00"
"336","Malacocincla malaccensis","E1_648","13:00"
"337","Pycnonotus erythropthalmos","E1_648","13:01"
"338","Pycnonotus atriceps","E1_648","13:01"
"339","Arachnothera longirostra","E1_648","13:01"
"340","Pycnonotus erythropthalmos","E1_648","13:02"
"341","Macronus ptilosus","E1_648","13:03"
"342","Macronus bornensis","E1_648","13:04"
"343","Orthotomus ruficeps","E1_648","13:04"
"344","Malacocincla malaccensis","E1_648","13:05"
"345","Stachyris erythroptera","E1_648","13:06"
"346","Cacomantis merulinus","E1_648","13:11"
"347","Pomatorhinus montanus","E1_648","13:14"
"348","Orthotomus atrogularis","E1_648","13:19"
"349","Pycnonotus atriceps","E1_648","14:00"
"350","Dicaeum trigonostigma","E1_648","14:01"
"351","Cacomantis merulinus","E1_648","14:01"
"352","Pycnonotus erythropthalmos","E1_648","14:01"
"353","Pycnonotus erythropthalmos","E1_648","14:01"
"354","Pycnonotus atriceps","E1_648","14:02"
"355","Macronus bornensis","E1_648","14:02"
"356","Erythropitta ussheri","E1_648","14:03"
"357","Arachnothera longirostra","E1_648","14:04"
"358","Macronus ptilosus","E1_648","14:05"
"359","Sasia abnormis","E1_648","14:05"
"360","Cacomantis merulinus","E1_648","14:06"
"361","Orthotomus atrogularis","E1_648","14:07"
"362","Arachnothera longirostra","E1_648","14:08"
"363","Orthotomus ruficeps","E1_648","14:15"
"364","Gekko smithi","E1_648","14:15"
"365","Orthotomus ruficeps","E1_648","14:15"
"366","Macronus bornensis","E1_648","14:18"
"367","Centropus rectunguis","E1_648","15:04"
"368","Arachnothera longirostra","E1_648","15:09"
"369","Pycnonotus erythropthalmos","Riparian_1","09:20"
"370","Hemiprocne comata","Riparian_1","09:21"
"371","Centropus rectunguis","Riparian_1","09:24"
"372","Corvus enca","Riparian_1","09:30"
"373","Orthotomus ruficeps","Riparian_1","10:01"
"374","Hemiprocne comata","Riparian_1","10:06"
"375","Psilopogon duvaucelii","Riparian_1","10:06"
"376","Pycnonotus erythropthalmos","Riparian_1","10:09"
"377","Chalcoparia singalensis","Riparian_1","11:10"
"378","Hypothymis azurea","Riparian_1","11:15"
"379","Psilopogon duvaucelii","Riparian_1","12:02"
"380","Harpactes kasumba","Riparian_1","12:04"
"381","Hemiprocne comata","Riparian_1","12:11"
"382","Orthotomus atrogularis","Riparian_1","13:02"
"383","Hemiprocne comata","Riparian_1","13:09"
"384","Pycnonotus erythropthalmos","Riparian_1","13:13"
"385","Alcedo euryzona","Riparian_1","13:16"
"386","Hemiprocne comata","Riparian_1","14:07"
"387","Motacilla cinerea","Riparian_1","14:14"
"388","Aegithina viridissima","Riparian_1","14:17"
"389","Prinia flaviventris","D_Matrix","09:00"
"390","Macronus bornensis","D_Matrix","09:00"
"391","Macronus bornensis","D_Matrix","09:00"
"392","Prinia flaviventris","D_Matrix","09:00"
"393","Pycnonotus goiavier","D_Matrix","09:03"
"394","Pycnonotus goiavier","D_Matrix","09:03"
"395","Pycnonotus goiavier","D_Matrix","09:03"
"396","Macronus bornensis","D_Matrix","09:00"
"397","Pycnonotus atriceps","D_Matrix","09:07"
"398","Orthotomus atrogularis","D_Matrix","09:08"
"399","Cacomantis merulinus","D_Matrix","09:12"
"400","Stachyris erythroptera","D_Matrix","09:14"
"401","Pycnonotus atriceps","D_Matrix","09:00"
"402","Pycnonotus atriceps","D_Matrix","09:00"
"403","Dicaeum trigonostigma","D_Matrix","09:16"
"404","Dicaeum trigonostigma","D_Matrix","09:16"
"405","Dicaeum trigonostigma","D_Matrix","09:16"
"406","Pycnonotus goiavier","D_Matrix","09:17"
"407","Pycnonotus goiavier","D_Matrix","09:17"
"408","Pycnonotus goiavier","D_Matrix","09:17"
"409","Orthotomus ruficeps","D_Matrix","09:19"
"410","Prinia flaviventris","D_Matrix","10:00"
"411","Macronus bornensis","D_Matrix","10:00"
"412","Macronus bornensis","D_Matrix","10:00"
"413","Macronus bornensis","D_Matrix","10:02"
"414","Macronus bornensis","D_Matrix","10:02"
"415","Aethopyga siparaja","D_Matrix","10:07"
"416","Dicaeum trigonostigma","D_Matrix","10:09"
"417","Dicaeum trigonostigma","D_Matrix","10:09"
"418","Pycnonotus goiavier","D_Matrix","10:09"
"419","Cacomantis merulinus","D_Matrix","10:09"
"420","Pycnonotus goiavier","D_Matrix","10:13"
"421","Pycnonotus goiavier","D_Matrix","10:13"
"422","Lonchura fuscans","D_Matrix","10:16"
"423","Hirundo tahitica","D_Matrix","10:19"
"424","Hirundo tahitica","D_Matrix","10:19"
"425","Hirundo tahitica","D_Matrix","10:19"
"426","Pycnonotus goiavier","D_Matrix","11:00"
"427","Pycnonotus goiavier","D_Matrix","11:00"
"428","Orthotomus ruficeps","D_Matrix","11:00"
"429","Prinia flaviventris","D_Matrix","11:01"
"430","Pycnonotus atriceps","D_Matrix","11:01"
"431","Macronus bornensis","D_Matrix","11:00"
"432","Macronus bornensis","D_Matrix","11:00"
"433","Pycnonotus atriceps","D_Matrix","11:05"
"434","Pycnonotus atriceps","D_Matrix","11:05"
"435","Argusianus argus","D_Matrix","11:05"
"436","Macronus ptilosus","D_Matrix","11:00"
"437","Orthotomus ruficeps","D_Matrix","11:09"
"438","Orthotomus ruficeps","D_Matrix","11:09"
"439","Lonchura atricapilla","D_Matrix","11:14"
"440","Lonchura atricapilla","D_Matrix","11:14"
"441","Lonchura atricapilla","D_Matrix","11:14"
"442","Pycnonotus goiavier","D_Matrix","11:16"
"443","Hirundo tahitica","D_Matrix","11:17"
"444","Hirundo tahitica","D_Matrix","11:17"
"445","Dicaeum trigonostigma","D_Matrix","11:18"
"446","Dicaeum trigonostigma","D_Matrix","11:18"
"447","Pycnonotus goiavier","D_Matrix","12:00"
"448","Pycnonotus goiavier","D_Matrix","12:00"
"449","Prinia flaviventris","D_Matrix","12:01"
"450","Macronus bornensis","D_Matrix","12:03"
"451","Lonchura atricapilla","D_Matrix","12:03"
"452","Lonchura atricapilla","D_Matrix","12:03"
"453","Lonchura atricapilla","D_Matrix","12:03"
"454","Lonchura atricapilla","D_Matrix","12:03"
"455","Lonchura atricapilla","D_Matrix","12:03"
"456","Orthotomus ruficeps","D_Matrix","12:03"
"457","Pycnonotus goiavier","D_Matrix","12:05"
"458","Pycnonotus goiavier","D_Matrix","12:05"
"459","Prinia flaviventris","D_Matrix","12:06"
"460","Hirundo tahitica","D_Matrix","12:08"
"461","Hirundo tahitica","D_Matrix","12:08"
"462","Dicaeum trigonostigma","D_Matrix","12:17"
"463","Prinia flaviventris","D_Matrix","13:00"
"464","Macronus bornensis","D_Matrix","13:00"
"465","Macronus bornensis","D_Matrix","13:00"
"466","Orthotomus ruficeps","D_Matrix","13:00"
"467","Alophoixus phaeocephalus","D_Matrix","13:00"
"468","Dicaeum trigonostigma","D_Matrix","13:00"
"469","Cacomantis merulinus","D_Matrix","13:58"
"470","Orthotomus ruficeps","D_Matrix","14:00"
"471","Orthotomus ruficeps","D_Matrix","14:00"
"472","Cacomantis merulinus","D_Matrix","14:00"
"473","Prinia flaviventris","D_Matrix","14:01"
"474","Centropus sinensis","D_Matrix","14:01"
"475","Prinia flaviventris","D_Matrix","14:02"
"476","Stachyris erythroptera","D_Matrix","14:03"
"477","Pycnonotus goiavier","D_Matrix","14:03"
"478","Orthotomus ruficeps","D_Matrix","14:04"
"479","Stachyris erythroptera","D_Matrix","14:12"
"480","Aethopyga siparaja","D_Matrix","14:13"
"481","Macronus bornensis","D_Matrix","14:14"
"482","Chloropsis cyanopogon","D_Matrix","14:15"
"483","Macronus ptilosus","D_Matrix","14:16"
"484","Macronus bornensis","D_Matrix","14:19"
"485","Macronus bornensis","D_Matrix","14:19"
"486","Macronus bornensis","D_Matrix","14:19"
"487","Alcippe brunneicauda","VJR_2","12:02"
"488","Argusianus argus","VJR_2","12:02"
"489","Gekko smithi","VJR_2","12:04"
"490","Stachyridopsis rufifrons","VJR_2","12:06"
"491","Argusianus argus","VJR_2","13:05"
"492","Pomatorhinus montanus","VJR_2","13:18"
"493","Stachyris erythroptera","VJR_2","14:00"
"494","Eurylaimus ochromalus","VJR_2","14:01"
"495","Pomatorhinus montanus","VJR_2","14:02"
"496","Psilopogon chrysopogon","VJR_2","14:03"
"497","Argusianus argus","VJR_2","14:07"
"498","Buceros rhinoceros","VJR_2","15:00"
"499","Pomatorhinus montanus","VJR_2","15:00"
"500","Eurylaimus ochromalus","VJR_2","15:02"
"501","Arachnothera longirostra","VJR_2","15:11"
"502","Corvus enca","VJR_2","15:16"
"503","Hypothymis azurea","VJR_2","16:00"
"504","Eurylaimus ochromalus","VJR_2","16:01"
"505","Cacomantis sonneratii","VJR_2","16:09"
"506","Eurylaimus ochromalus","VJR_2","17:14"
"507","Centropus rectunguis","VJR_2","17:17"
"508","Stachyridopsis rufifrons","B10","09:00"
"509","Stachyris erythroptera","B10","09:00"
"510","Macronus bornensis","B10","09:00"
"511","Eurylaimus ochromalus","B10","09:02"
"512","Orthotomus ruficeps","B10","09:04"
"513","Argusianus argus","B10","09:05"
"514","Argusianus argus","B10","09:05"
"515","Macronus bornensis","B10","09:10"
"516","Macronus ptilosus","B10","09:14"
"517","Stachyridopsis rufifrons","B10","09:20"
"518","Psilopogon duvaucelii","B10","10:00"
"519","Stachyris erythroptera","B10","10:00"
"520","Psilopogon mystacophanos","B10","10:01"
"521","Macronus ptilosus","B10","10:01"
"522","Stachyridopsis rufifrons","B10","10:02"
"523","Argusianus argus","B10","10:06"
"524","Orthotomus ruficeps","B10","10:06"
"525","Eurylaimus ochromalus","B10","10:07"
"526","Pycnonotus erythropthalmos","B10","10:08"
"527","Pycnonotus atriceps","B10","10:08"
"528","Dicaeum trigonostigma","B10","10:13"
"529","Platysmurus leucopterus","B10","10:16"
"530","Platysmurus leucopterus","B10","10:17"
"531","Phaenicophaeus diardi","B10","11:00"
"532","Platysmurus leucopterus","B10","11:00"
"533","Stachyridopsis rufifrons","B10","11:01"
"534","Platysmurus leucopterus","B10","11:03"
"535","Malacocincla malaccensis","B10","11:10"
"536","Argusianus argus","B10","11:13"
"537","Centropus sinensis","B10","11:14"
"538","Orthotomus ruficeps","B10","11:16"
"539","Stachyris erythroptera","B10","11:17"
"540","Pomatorhinus montanus","B10","11:18"
"541","Macronus bornensis","B10","11:19"
"542","Stachyridopsis rufifrons","B10","12:04"
"543","Hemipus hirundinaceus","B10","12:17"
"544","Hemipus hirundinaceus","B10","12:17"
"545","Psilopogon duvaucelii","B10","13:08"
"546","Anorrhinus galeritus","B10","13:09"
"547","Pycnonotus atriceps","B10","13:12"
"548","Centropus sinensis","B10","13:17"
"549","Eurylaimus ochromalus","B10","14:00"
"550","Malacocincla malaccensis","B10","14:18"
"551","Pycnonotus erythropthalmos","B10","14:19"
"552","Pomatorhinus montanus","E1_648","16:00"
"553","Hylarana nicobariensis","E1_648","16:01"
"554","Arachnothera longirostra","E1_648","16:01"
"555","Gekko smithi","E1_648","16:02"
"556","Pycnonotus erythropthalmos","E1_648","16:04"
"557","Pycnonotus erythropthalmos","E1_648","16:04"
"558","Macronus ptilosus","E1_648","16:07"
"559","Argusianus argus","E1_648","16:09"
"560","Macronus ptilosus","E1_648","16:11"
"561","Orthotomus ruficeps","E1_648","16:11"
"562","Macronus bornensis","E1_648","16:11"
"563","Malacocincla malaccensis","E1_648","16:13"
"564","Eurylaimus ochromalus","E1_648","16:16"
"565","Gekko smithi","E1_648","17:00"
"566","Pycnonotus atriceps","E1_648","17:00"
